"","trt_1","trt_2","trt_3","ctr_1","ctr_2","ctr_3"
"gene:AT3G10290",0,0,1,0,7,0
"gene:AT3G10300",1088,311,391,113,114,77
"gene:AT3G10310",253,121,27,23,39,18
"gene:AT3G10320",67,3,42,2,1,0
"gene:AT3G10330",386,25,42,94,119,65
"gene:AT3G10340",1172,683,476,222,185,175
"gene:AT3G10350",384,79,130,234,394,255
"gene:AT3G10360",993,90,143,412,422,283
"gene:AT3G10370",937,156,263,235,297,96
"gene:AT3G10380",2437,269,405,859,1217,368
"gene:AT3G10390",231,55,53,186,210,73
"gene:AT3G10405",224,97,97,130,278,231
"gene:AT3G10400",204,22,66,6,30,63
"gene:AT3G10410",3073,926,808,1214,1301,675
"gene:AT3G10420",336,36,141,208,368,164
"gene:AT3G10430",0,0,0,0,0,0
"gene:AT3G10439",0,0,0,0,15,0
"gene:AT3G10440",149,50,2,33,92,1
"gene:AT3G10450",1,3,0,1,32,0
"gene:AT3G10455",0,0,0,0,0,0
"gene:AT3G10460",0,0,0,0,0,0
"gene:AT3G10470",153,1,1,14,13,0
"gene:AT3G10480",861,352,169,215,341,189
"gene:AT3G10490",469,283,295,260,328,89
"gene:AT3G10500",1182,417,691,100,49,54
"gene:AT3G10510",1,0,0,0,1,0
"gene:AT3G10520",54,24,21,199,268,201
"gene:AT3G10525",73,9,32,197,256,119
"gene:AT3G10527",73,9,32,177,231,83
"gene:AT3G10530",1523,115,193,138,227,64
"gene:AT3G10540",245,116,199,209,155,6
"gene:AT3G10550",162,94,90,205,242,92
"gene:AT3G10560",0,0,39,0,1,0
"gene:AT3G10570",0,0,0,1,0,8
"gene:AT3G10572",95,0,2,27,106,45
"gene:AT3G10580",0,0,0,0,3,0
"gene:AT3G10585",0,0,0,0,0,0
"gene:AT3G10590",16,5,0,1,13,0
"gene:AT3G10595",0,0,0,0,1,0
"gene:AT3G10600",27,22,30,12,12,0
"gene:AT3G10605",380,19,27,0,0,0
"gene:AT3G10610",451,86,107,134,245,41
"gene:AT3G10620",283,207,36,86,178,69
"gene:AT3G10630",43,1,49,158,159,38
"gene:AT3G10640",1966,674,524,141,289,67
"gene:AT3G10650",2115,638,653,538,672,262
"gene:AT3G10660",36,0,0,1,14,2
"gene:AT3G10670",563,104,124,155,455,98
"gene:AT3G10680",436,104,159,168,192,225
"gene:AT3G10690",631,165,107,311,400,211
"gene:AT3G10700",99,2,16,77,199,31
"gene:AT3G10710",11,0,1,0,0,0
"gene:AT3G10720",738,127,145,41,60,101
"gene:AT3G10730",113,49,99,108,115,70
"gene:AT3G10740",3056,608,565,1161,2225,794
"gene:AT3G10750",118,0,2,1,1,36
"gene:AT3G10760",440,119,82,227,366,89
"gene:AT3G10770",623,146,118,240,540,259
"gene:AT3G10780",0,0,0,0,0,0
"gene:AT3G10790",0,0,0,0,0,0
"gene:AT3G10800",1621,252,284,223,215,87
"gene:AT3G10810",720,80,197,180,287,86
"gene:AT3G10815",227,94,52,0,1,6
"gene:AT3G10820",128,38,84,44,138,85
"gene:AT3G10840",0,40,47,73,189,21
"gene:AT3G10845",0,0,0,1,11,0
"gene:AT3G10850",435,173,376,649,701,350
"gene:AT3G10860",1675,537,498,592,760,380
"gene:AT3G10870",440,100,38,182,430,133
"gene:AT3G10880",0,32,13,35,52,39
"gene:AT3G10890",0,0,0,0,0,0
"gene:AT3G10900",2,0,0,0,0,16
"gene:AT3G10910",17,0,0,0,6,0
"gene:AT3G10915",560,308,152,190,154,118
"gene:AT3G10920",4081,1208,1246,922,1165,479
"gene:AT3G10930",2029,323,317,1,0,0
"gene:AT3G10940",555,268,195,147,132,8
"gene:AT3G10950",0,0,2,0,0,0
"gene:AT3G10960",465,26,22,59,25,59
"gene:AT3G10970",726,125,128,409,741,258
"gene:AT3G10974",0,0,0,0,0,0
"gene:AT3G10980",1239,357,355,209,220,90
"gene:AT3G10985",2004,418,784,366,407,318
"gene:AT3G10986",6,59,21,0,0,0
"gene:AT3G10990",0,0,0,0,0,0
"gene:AT3G11000",6,0,0,1,2,2
"gene:AT3G11010",471,94,393,25,76,44
"gene:AT3G11020",1162,424,416,90,111,8
"gene:AT3G11030",645,197,246,195,108,15
"gene:AT3G11040",111,54,24,70,52,2
"gene:AT3G11050",2,0,0,5,0,0
"gene:AT3G11060",1,0,0,0,0,0
"gene:AT3G11070",133,14,67,178,230,85
"gene:AT3G11080",216,80,74,14,14,3
"gene:AT3G11090",1,2,253,32,125,27
"gene:AT3G11100",184,37,44,257,178,128
"gene:AT3G11110",0,0,0,47,37,22
"gene:AT3G11120",902,137,259,210,408,189
"gene:AT3G11130",6439,2925,3209,3466,3968,1794
"gene:AT3G11150",0,0,0,26,12,0
"gene:AT3G11160",0,2,0,31,1,0
"gene:AT3G11165",0,0,0,13,0,0
"gene:AT3G11170",3952,927,1584,1378,1733,910
"gene:AT3G11180",0,0,0,0,0,0
"gene:AT3G11200",960,240,245,410,393,232
"gene:AT3G11210",1,0,0,0,1,2
"gene:AT3G11220",497,103,21,60,67,23
"gene:AT3G11230",461,90,265,151,198,94
"gene:AT3G11240",15,47,35,39,104,41
"gene:AT3G11250",1180,166,159,167,430,198
"gene:AT3G11260",0,0,0,0,0,0
"gene:AT3G11270",143,49,48,111,181,42
"gene:AT3G11280",1770,157,338,1510,1275,868
"gene:AT3G11290",51,0,0,94,162,109
"gene:AT3G11300",0,0,0,0,0,0
"gene:AT3G11310",0,0,0,0,0,0
"gene:AT3G11320",1173,182,150,185,196,86
"gene:AT3G11325",0,0,0,0,0,0
"gene:AT3G11330",529,151,343,416,376,132
"gene:AT3G11340",176,154,997,16,14,26
"gene:AT3G11350",0,0,1,4,0,0
"gene:AT3G11370",1,0,0,0,0,0
"gene:AT3G11380",0,0,0,0,0,0
"gene:AT3G11385",0,0,0,0,1,1
"gene:AT3G11390",0,0,0,0,1,0
"gene:AT3G11402",0,0,135,0,0,0
"gene:AT3G11397",170,8,66,203,149,87
"gene:AT3G11400",1060,357,395,305,583,253
"gene:AT3G11405",0,0,0,0,0,0
"gene:AT3G11410",504,212,283,710,613,276
"gene:AT3G11420",758,168,104,122,113,93
"gene:AT3G11430",1,6,0,0,0,0
"gene:AT3G11440",45,1,54,79,101,47
"gene:AT3G11450",1519,365,596,660,854,343
"gene:AT3G11460",147,0,7,37,31,7
"gene:AT3G11470",1,0,0,16,37,26
"gene:AT3G11480",0,0,0,0,0,0
"gene:AT3G11490",1089,97,63,253,300,144
"gene:AT3G11500",108,82,167,230,268,140
"gene:AT3G11510",1886,573,481,909,1341,347
"gene:AT3G11520",0,0,0,53,84,6
"gene:AT3G11530",486,57,123,208,164,116
"gene:AT3G11540",374,192,253,384,390,118
"gene:AT3G11550",0,0,0,0,1,0
"gene:AT3G11560",1806,335,458,854,1351,661
"gene:AT3G11570",413,155,202,244,218,168
"gene:AT3G11580",12,0,15,48,67,31
"gene:AT3G11590",357,108,184,526,611,216
"gene:AT3G11591",11,2,6,26,62,3
"gene:AT3G11600",177,59,21,37,7,15
"gene:AT3G11620",159,52,48,180,461,68
"gene:AT3G11630",4568,1015,948,2575,4170,1695
"gene:AT3G11640",0,0,0,4,17,34
"gene:AT3G11650",48,47,36,112,193,56
"gene:AT3G11660",92,51,65,209,221,192
"gene:AT3G11670",439,63,86,149,223,76
"gene:AT3G11680",0,0,0,2,6,0
"gene:AT3G11690",166,34,183,48,135,51
"gene:AT3G11700",1041,354,309,545,810,316
"gene:AT3G11710",3155,792,909,676,948,360
"gene:AT3G11720",113,33,40,13,24,3
"gene:AT3G11730",569,93,221,285,315,55
"gene:AT3G11740",0,2,0,0,0,0
"gene:AT3G11745",0,32,11,1,19,2
"gene:AT3G11750",0,0,0,65,108,50
"gene:AT3G11760",980,278,133,450,523,178
"gene:AT3G11770",253,31,36,101,180,96
"gene:AT3G11773",0,0,18,37,19,3
"gene:AT3G11780",296,53,117,202,316,80
"gene:AT3G11800",290,168,150,166,296,116
"gene:AT3G11810",483,239,221,243,240,119
"gene:AT3G11820",6145,1663,1956,40,173,65
"gene:AT3G11825",0,0,0,0,0,0
"gene:AT3G11830",1924,644,1036,1001,1194,489
"gene:AT3G11840",826,518,337,41,79,20
"gene:AT3G11850",497,198,131,29,63,11
"gene:AT3G11860",0,0,14,0,0,0
"gene:AT3G11870",1,0,0,7,2,0
"gene:AT3G11880",916,150,252,185,336,93
"gene:AT3G11890",195,32,35,135,131,45
"gene:AT3G11900",533,110,48,104,19,35
"gene:AT3G11910",2063,411,828,1004,1590,651
"gene:AT3G11920",0,0,1,0,9,3
"gene:AT3G11930",9403,1774,2248,12608,9465,6447
"gene:AT3G11940",1435,759,464,1008,1505,619
"gene:AT3G11945",170,191,331,285,356,160
"gene:AT3G11950",107,31,74,61,115,17
"gene:AT3G11960",576,187,520,516,541,220
"gene:AT3G11964",1360,386,334,511,861,237
"gene:AT3G11980",0,0,0,0,0,1
"gene:AT3G11990",0,0,0,0,0,0
"gene:AT3G12000",0,1,0,0,0,17
"gene:AT3G12010",329,113,87,301,575,147
"gene:AT3G12020",1085,111,180,591,737,406
"gene:AT3G12030",919,11,79,121,135,60
"gene:AT3G12040",275,75,252,0,1,13
"gene:AT3G12050",522,342,217,479,414,297
"gene:AT3G12060",1,0,2,58,16,8
"gene:AT3G12070",28,0,9,42,15,9
"gene:AT3G12080",871,131,93,406,846,273
"gene:AT3G12090",27,0,86,323,177,235
"gene:AT3G12100",422,21,119,144,106,103
"gene:AT3G12110",142,1,15,242,227,123
"gene:AT3G12120",7174,1706,2064,3145,3867,1925
"gene:AT3G12130",301,76,159,192,240,64
"gene:AT3G12140",1068,404,149,176,252,104
"gene:AT3G12145",769,323,232,175,228,120
"gene:AT3G12150",280,18,69,143,168,218
"gene:AT3G12160",0,0,0,1,0,0
"gene:AT3G12170",3,0,11,7,70,1
"gene:AT3G12180",25,90,46,90,68,1
"gene:AT3G12190",1,0,0,0,0,0
"gene:AT3G12200",1106,162,202,100,283,69
"gene:AT3G12203",0,0,0,0,1,2
"gene:AT3G12210",24,0,10,77,78,104
"gene:AT3G12220",0,0,0,30,36,0
"gene:AT3G12230",0,0,0,0,1,0
"gene:AT3G12240",0,0,0,0,0,0
"gene:AT3G12250",137,8,15,96,110,46
"gene:AT3G12260",614,318,213,382,700,251
"gene:AT3G12270",838,264,173,96,156,21
"gene:AT3G12280",737,268,309,173,464,150
"gene:AT3G12290",951,194,247,407,714,250
"gene:AT3G12300",65,92,98,65,85,12
"gene:AT3G12320",8,0,8,0,3,5
"gene:AT3G12340",298,28,76,53,55,5
"gene:AT3G12345",211,63,90,450,700,307
"gene:AT3G12350",189,126,72,133,122,72
"gene:AT3G12360",1107,297,542,410,463,106
"gene:AT3G12370",199,0,65,98,95,90
"gene:AT3G12380",148,14,110,196,180,111
"gene:AT3G12390",862,369,455,761,835,347
"gene:AT3G12400",778,122,405,178,245,222
"gene:AT3G12410",0,2,0,0,1,0
"gene:AT3G12420",0,0,0,0,0,0
"gene:AT3G12430",0,0,0,0,0,1
"gene:AT3G12440",0,0,0,0,2,0
"gene:AT3G12460",0,0,0,0,0,0
"gene:AT3G12470",0,0,0,0,0,0
"gene:AT3G12480",676,57,173,205,237,167
"gene:AT3G12490",1427,499,316,331,632,292
"gene:AT3G12500",379,12,1,10,10,10
"gene:AT3G12510",177,8,13,0,35,0
"gene:AT3G12520",89,17,27,98,259,30
"gene:AT3G12530",198,30,14,6,97,21
"gene:AT3G12540",2,0,0,0,1,0
"gene:AT3G12545",0,0,0,0,10,14
"gene:AT3G12550",128,60,131,116,168,97
"gene:AT3G12560",186,34,70,339,341,113
"gene:AT3G12570",641,228,207,188,198,87
"gene:AT3G12580",1409,481,206,12,41,21
"gene:AT3G12587",92,2,11,96,86,42
"gene:AT3G12590",607,287,244,320,406,161
"gene:AT3G12600",647,79,268,184,151,64
"gene:AT3G12610",0,66,27,50,109,19
"gene:AT3G12620",1424,327,189,156,273,51
"gene:AT3G12630",1853,700,619,573,921,440
"gene:AT3G12640",618,275,116,279,355,151
"gene:AT3G12650",134,124,134,170,137,7
"gene:AT3G12670",775,118,179,208,399,141
"gene:AT3G12660",0,0,0,0,1,0
"gene:AT3G12680",329,65,115,123,239,68
"gene:AT3G12685",1,0,7,30,42,6
"gene:AT3G12690",16,1,25,48,49,1
"gene:AT3G12700",110,34,10,22,39,2
"gene:AT3G12710",539,67,38,192,497,76
"gene:AT3G12720",0,0,0,0,0,0
"gene:AT3G12730",113,71,75,282,223,109
"gene:AT3G12740",3260,1043,1323,319,403,228
"gene:AT3G12750",390,77,92,168,218,36
"gene:AT3G12760",1451,177,518,406,637,87
"gene:AT3G12770",113,0,17,39,73,44
"gene:AT3G12775",0,0,0,0,1,0
"gene:AT3G12780",14253,3139,3519,7415,11394,4342
"gene:AT3G12800",1361,179,223,407,517,311
"gene:AT3G12810",802,174,394,461,493,218
"gene:AT3G12820",303,17,25,44,56,29
"gene:AT3G12830",69,71,34,25,105,52
"gene:AT3G12833",0,0,30,0,14,0
"gene:AT3G12835",0,0,6,0,0,0
"gene:AT3G12840",0,0,0,0,0,0
"gene:AT3G12850",0,0,0,0,0,1
"gene:AT3G12860",249,2,28,65,39,1
"gene:AT3G12870",0,1,0,21,90,32
"gene:AT3G12880",0,0,0,0,0,0
"gene:AT3G12890",0,0,0,0,0,0
"gene:AT3G12900",0,0,15,1,0,0
"gene:AT3G12910",0,18,50,0,0,0
"gene:AT3G12915",50,48,36,112,67,69
"gene:AT3G12920",260,85,71,403,296,191
"gene:AT3G12930",307,61,50,195,577,111
"gene:AT3G12940",558,50,56,122,168,87
"gene:AT3G12950",264,126,106,282,269,160
"gene:AT3G12955",9,0,0,0,18,7
"gene:AT3G12960",0,0,0,0,0,0
"gene:AT3G12970",0,0,0,0,11,0
"gene:AT3G12977",1,0,1,0,0,0
"gene:AT3G12980",981,426,335,454,646,346
"gene:AT3G12990",6,3,34,33,77,36
"gene:AT3G13000",458,137,128,75,218,31
"gene:AT3G13010",1,0,12,0,0,0
"gene:AT3G13020",0,0,19,25,0,3
"gene:AT3G13030",448,84,89,104,183,105
"gene:AT3G13040",730,120,81,221,340,137
"gene:AT3G13050",394,158,288,141,136,28
"gene:AT3G13060",1025,141,273,324,541,283
"gene:AT3G13062",250,2,128,70,374,78
"gene:AT3G13065",219,3,6,15,20,30
"gene:AT3G13070",903,321,426,496,571,239
"gene:AT3G13075",35,0,7,19,77,13
"gene:AT3G13080",44409,11018,12802,917,1040,746
"gene:AT3G13090",847,382,181,1,13,1
"gene:AT3G13100",3147,995,889,42,44,26
"gene:AT3G13110",4665,1351,1108,245,284,141
"gene:AT3G13120",1520,509,542,1236,1883,765
"gene:AT3G13130",0,0,0,0,18,4
"gene:AT3G13140",0,0,0,0,0,1
"gene:AT3G13150",385,76,80,37,76,76
"gene:AT3G13160",157,78,18,71,134,115
"gene:AT3G13170",0,0,0,1,2,0
"gene:AT3G13175",0,0,0,2,34,0
"gene:AT3G13180",9,1,58,208,273,106
"gene:AT3G13190",62,17,15,204,42,24
"gene:AT3G13200",1767,459,465,569,651,418
"gene:AT3G13210",214,20,5,0,7,0
"gene:AT3G13220",0,0,0,0,0,0
"gene:AT3G13222",281,259,229,297,333,207
"gene:AT3G13224",182,134,96,189,117,75
"gene:AT3G13227",0,0,0,1,0,0
"gene:AT3G13225",1459,294,169,273,298,100
"gene:AT3G13226",47,75,85,78,119,15
"gene:AT3G13228",0,0,20,0,0,0
"gene:AT3G13229",0,0,0,0,0,0
"gene:AT3G13230",235,226,149,96,143,27
"gene:AT3G13235",586,338,500,257,419,58
"gene:AT3G13240",13,2,8,51,54,1
"gene:AT3G13275",748,100,75,157,88,98
"gene:AT3G13276",26,0,0,0,8,0
"gene:AT3G13280",0,0,0,0,0,0
"gene:AT3G13290",240,243,169,419,431,205
"gene:AT3G13300",1184,462,801,970,916,604
"gene:AT3G13310",47,142,257,80,107,62
"gene:AT3G13320",293,237,135,132,218,99
"gene:AT3G13330",2409,605,1115,475,644,357
"gene:AT3G13340",1078,198,354,457,364,184
"gene:AT3G13350",133,11,139,143,169,131
"gene:AT3G13360",364,79,78,390,463,273
"gene:AT3G13370",0,0,0,0,0,0
"gene:AT3G13380",3817,798,834,193,310,181
"gene:AT3G13390",0,0,0,0,1,1
"gene:AT3G13400",0,1,0,0,8,0
"gene:AT3G13404",0,0,16,25,90,9
"gene:AT3G13403",0,0,0,23,40,6
"gene:AT3G13410",1140,515,531,947,1115,394
"gene:AT3G13420",11,30,5,4,40,9
"gene:AT3G13430",371,173,141,136,97,69
"gene:AT3G13432",0,0,10,0,0,0
"gene:AT3G13433",75,0,0,0,0,1
"gene:AT3G13435",0,0,3,0,0,0
"gene:AT3G13437",0,0,3,0,3,0
"gene:AT3G13440",191,150,121,217,269,88
"gene:AT3G13445",559,79,124,98,181,43
"gene:AT3G13450",338,103,201,232,294,86
"gene:AT3G13460",7955,2162,2183,2512,3168,1590
"gene:AT3G13470",316,177,299,1090,1553,442
"gene:AT3G13480",98,14,122,312,297,130
"gene:AT3G13490",354,87,130,308,376,77
"gene:AT3G13500",0,0,8,0,0,0
"gene:AT3G13510",326,254,95,553,482,342
"gene:AT3G13520",807,147,173,574,616,190
"gene:AT3G13530",866,184,191,217,467,199
"gene:AT3G13540",0,0,0,6,0,0
"gene:AT3G13550",57,50,103,86,146,104
"gene:AT3G13560",279,65,51,160,322,88
"gene:AT3G13570",227,122,153,300,288,135
"gene:AT3G13580",240,329,316,691,634,222
"gene:AT3G13590",7,7,53,110,36,12
"gene:AT3G13600",21,61,49,0,1,5
"gene:AT3G13610",624,138,213,5,22,9
"gene:AT3G13620",0,15,24,18,125,61
"gene:AT3G13630",0,0,0,0,0,0
"gene:AT3G13640",0,0,0,0,1,0
"gene:AT3G13650",212,63,2,0,4,3
"gene:AT3G13660",0,0,0,0,0,0
"gene:AT3G13662",0,0,0,0,0,0
"gene:AT3G13670",2354,407,530,625,713,438
"gene:AT3G13672",990,89,177,243,179,32
"gene:AT3G13674",0,0,0,39,12,4
"gene:AT3G13677",0,22,10,34,21,33
"gene:AT3G13680",0,1,4,0,0,0
"gene:AT3G13682",31,0,0,25,90,12
"gene:AT3G13690",189,71,40,136,282,185
"gene:AT3G13700",66,3,5,62,90,57
"gene:AT3G13710",66,3,5,62,90,57
"gene:AT3G13720",109,26,209,66,146,120
"gene:AT3G13730",303,44,73,180,220,143
"gene:AT3G13740",120,3,57,207,289,79
"gene:AT3G13750",3563,767,1042,5733,7585,2586
"gene:AT3G13760",2,0,0,0,1,1
"gene:AT3G13770",0,5,33,50,14,8
"gene:AT3G13772",560,164,35,246,453,79
"gene:AT3G13780",2,2,16,60,26,39
"gene:AT3G13782",14,17,28,33,45,0
"gene:AT3G13784",0,17,0,3,0,2
"gene:AT3G13790",81,8,284,0,75,2
"gene:AT3G13800",249,85,26,45,114,63
"gene:AT3G13810",63,16,95,100,60,18
"gene:AT3G13820",0,0,0,5,0,0
"gene:AT3G13830",0,0,0,0,0,0
"gene:AT3G13840",0,0,1,0,0,0
"gene:AT3G13845",10,42,76,89,94,49
"gene:AT3G13850",1,4,1,0,0,0
"gene:AT3G13857",401,244,186,114,193,135
"gene:AT3G13860",264,43,191,238,385,108
"gene:AT3G13870",1942,526,701,987,1208,480
"gene:AT3G13880",8,6,28,45,53,0
"gene:AT3G13882",335,6,109,129,239,62
"gene:AT3G13890",0,1,0,0,0,0
"gene:AT3G13898",0,0,0,0,0,0
"gene:AT3G13900",434,185,119,45,15,0
"gene:AT3G13910",773,213,354,2,57,37
"gene:AT3G13920",6860,1854,2023,1897,2980,1074
"gene:AT3G13930",1244,470,405,704,1185,303
"gene:AT3G13940",1128,460,329,79,206,91
"gene:AT3G13950",540,177,157,0,0,0
"gene:AT3G13960",10,0,0,0,0,0
"gene:AT3G13970",0,0,35,41,8,0
"gene:AT3G13980",11,1,1,15,41,7
"gene:AT3G13990",901,248,340,300,336,162
"gene:AT3G14000",66,17,38,38,91,40
"gene:AT3G14010",1284,398,400,370,863,348
"gene:AT3G14020",92,0,20,57,102,16
"gene:AT3G14030",2,0,0,0,0,0
"gene:AT3G14040",2,0,0,0,0,0
"gene:AT3G14050",4699,1560,1337,189,209,90
"gene:AT3G14060",0,8,3,0,0,0
"gene:AT3G14067",2414,545,493,932,1457,549
"gene:AT3G14070",96,22,77,81,46,20
"gene:AT3G14075",818,326,194,123,165,45
"gene:AT3G14080",240,91,11,68,163,20
"gene:AT3G14090",925,103,230,112,87,22
"gene:AT3G14100",924,451,460,528,806,309
"gene:AT3G14110",150,41,120,286,751,158
"gene:AT3G14120",158,19,136,241,316,164
"gene:AT3G14130",34,178,30,84,43,22
"gene:AT3G14140",2,0,0,0,15,40
"gene:AT3G14150",10,24,81,231,205,124
"gene:AT3G14160",52,0,9,27,35,1
"gene:AT3G14170",300,35,36,78,141,13
"gene:AT3G14172",1545,143,365,397,732,242
"gene:AT3G14180",648,114,174,149,192,32
"gene:AT3G14190",0,5,0,53,61,152
"gene:AT3G14200",347,232,25,23,45,1
"gene:AT3G14205",821,208,286,559,444,225
"gene:AT3G14210",1701,334,1075,1207,3626,609
"gene:AT3G14220",129,75,59,93,174,77
"gene:AT3G14225",105,2,25,0,1,0
"gene:AT3G14230",736,315,240,519,631,499
"gene:AT3G14240",436,245,198,492,867,138
"gene:AT3G14250",0,0,0,0,0,0
"gene:AT3G14260",0,0,0,0,0,0
"gene:AT3G14270",1761,645,470,755,783,372
"gene:AT3G14280",28,0,1,10,0,2
"gene:AT3G14290",849,292,173,244,327,130
"gene:AT3G14300",1,0,0,0,0,0
"gene:AT3G14310",2496,820,675,2841,4079,1622
"gene:AT3G14320",0,0,0,0,0,0
"gene:AT3G14330",361,49,43,156,233,66
"gene:AT3G14340",103,0,32,16,80,90
"gene:AT3G14350",822,161,211,490,900,450
"gene:AT3G14360",190,0,21,29,19,17
"gene:AT3G14362",0,0,0,0,0,0
"gene:AT3G14370",0,0,0,3,0,0
"gene:AT3G14380",6,0,25,0,0,1
"gene:AT3G14390",672,101,112,144,383,74
"gene:AT3G14395",0,0,10,0,0,0
"gene:AT3G14400",1489,288,378,321,382,78
"gene:AT3G14410",126,75,26,118,248,147
"gene:AT3G14415",1564,407,796,1806,3688,1185
"gene:AT3G14420",2200,629,898,2590,5323,2066
"gene:AT3G14430",247,36,32,56,176,30
"gene:AT3G14440",1182,166,233,40,45,30
"gene:AT3G14450",0,0,9,122,82,54
"gene:AT3G14452",0,0,0,0,0,29
"gene:AT3G14460",510,37,83,64,69,14
"gene:AT3G14463",208,12,0,0,5,0
"gene:AT3G14467",0,0,0,0,0,0
"gene:AT3G14470",92,15,50,11,65,29
"gene:AT3G14480",2,0,0,0,0,1
"gene:AT3G14490",9,0,0,0,1,0
"gene:AT3G14510",0,0,0,0,0,0
"gene:AT3G14520",0,0,0,0,0,0
"gene:AT3G14530",0,0,0,0,0,0
"gene:AT3G14540",0,0,0,0,5,0
"gene:AT3G14550",6,0,8,22,0,0
"gene:AT3G14560",61,2,23,29,54,3
"gene:AT3G14570",422,102,177,1165,1018,558
"gene:AT3G14580",3,0,28,17,62,16
"gene:AT3G14590",441,91,51,73,34,2
"gene:AT3G14595",15,10,55,59,138,24
"gene:AT3G14600",828,310,225,459,969,153
"gene:AT3G14610",183,97,181,25,39,9
"gene:AT3G14620",894,503,610,52,53,77
"gene:AT3G14630",0,0,0,0,0,0
"gene:AT3G14640",0,27,0,22,7,0
"gene:AT3G14650",516,41,475,685,923,278
"gene:AT3G14660",1626,556,718,687,1040,479
"gene:AT3G14670",0,0,0,0,0,0
"gene:AT3G14680",0,35,0,1,1,0
"gene:AT3G14690",470,295,163,562,391,287
"gene:AT3G14700",526,98,134,0,0,0
"gene:AT3G14710",122,88,14,0,0,0
"gene:AT3G14720",1329,171,291,237,406,132
"gene:AT3G14730",0,37,1,37,51,19
"gene:AT3G14740",166,56,18,23,42,47
"gene:AT3G14750",3,31,21,104,99,83
"gene:AT3G14760",0,0,0,0,9,0
"gene:AT3G14770",0,0,30,15,121,60
"gene:AT3G14780",4,26,8,17,56,0
"gene:AT3G14790",562,121,70,132,368,14
"gene:AT3G14810",36,1,41,16,132,3
"gene:AT3G14820",0,0,0,0,0,1
"gene:AT3G14830",310,223,270,206,159,74
"gene:AT3G14840",3436,1255,1157,930,1348,443
"gene:AT3G14850",182,0,0,10,8,31
"gene:AT3G14860",431,33,34,274,255,59
"gene:AT3G14870",343,15,36,117,184,99
"gene:AT3G14880",0,0,2,3,0,0
"gene:AT3G14890",249,54,72,59,186,17
"gene:AT3G14900",245,45,133,131,186,88
"gene:AT3G14910",123,1,17,66,88,44
"gene:AT3G14920",264,278,195,435,259,238
"gene:AT3G14930",603,324,355,822,951,560
"gene:AT3G14940",369,93,87,234,217,77
"gene:AT3G14950",1,0,0,0,2,0
"gene:AT3G14960",61,2,50,71,109,16
"gene:AT3G14970",0,0,0,0,0,0
"gene:AT3G14980",656,79,160,370,467,237
"gene:AT3G14981",29,0,76,39,14,1
"gene:AT3G14990",16824,4464,4842,5248,5685,2104
"gene:AT3G15000",3025,813,612,713,756,189
"gene:AT3G15010",2184,807,918,532,553,299
"gene:AT3G15020",456,147,91,156,292,140
"gene:AT3G15030",263,151,195,161,298,103
"gene:AT3G15040",1,0,59,62,79,78
"gene:AT3G15050",0,0,1,0,17,0
"gene:AT3G15060",293,121,93,103,75,34
"gene:AT3G15070",561,131,75,194,273,129
"gene:AT3G15080",1025,65,47,24,37,32
"gene:AT3G15090",0,3,105,196,153,44
"gene:AT3G15095",139,175,137,439,371,339
"gene:AT3G15110",305,24,43,92,367,110
"gene:AT3G15111",0,0,0,0,6,0
"gene:AT3G15115",341,0,79,24,0,30
"gene:AT3G15120",876,148,302,455,330,177
"gene:AT3G15130",123,7,10,31,45,15
"gene:AT3G15140",83,0,8,26,65,17
"gene:AT3G15150",0,1,0,1,19,14
"gene:AT3G15160",412,66,85,215,210,100
"gene:AT3G15170",0,0,0,0,0,0
"gene:AT3G15180",807,130,78,177,206,25
"gene:AT3G15190",1081,332,729,889,1368,472
"gene:AT3G15200",485,145,123,40,192,32
"gene:AT3G15210",1274,649,651,95,112,18
"gene:AT3G15220",163,82,77,261,392,113
"gene:AT3G15240",0,2,0,0,0,0
"gene:AT3G15250",0,0,4,0,4,1
"gene:AT3G15251",0,0,0,0,0,1
"gene:AT3G15260",654,207,201,52,177,110
"gene:AT3G15270",7,18,29,9,28,36
"gene:AT3G15280",1,0,8,4,0,0
"gene:AT3G15290",257,55,26,167,130,50
"gene:AT3G15300",5,30,1,59,20,31
"gene:AT3G15340",1,0,2,0,22,0
"gene:AT3G15350",320,17,49,78,181,68
"gene:AT3G15354",17,33,135,237,324,143
"gene:AT3G15359",0,0,0,0,0,0
"gene:AT3G15356",7489,2602,3000,12,9,48
"gene:AT3G15351",216,70,108,68,55,38
"gene:AT3G15358",81,19,27,36,46,15
"gene:AT3G15352",356,161,143,201,252,159
"gene:AT3G15353",58287,11967,16681,20840,20227,14243
"gene:AT3G15355",64,82,144,87,195,77
"gene:AT3G15357",126,1,5,42,12,3
"gene:AT3G15360",1861,320,869,807,1848,552
"gene:AT3G15370",1,0,2,0,4,0
"gene:AT3G15380",199,119,33,238,433,214
"gene:AT3G15390",107,27,32,99,74,24
"gene:AT3G15395",57,47,55,44,200,151
"gene:AT3G15400",139,60,44,22,55,49
"gene:AT3G15410",342,161,97,260,343,223
"gene:AT3G15420",0,20,9,32,15,1
"gene:AT3G15430",815,347,327,347,285,111
"gene:AT3G15440",0,0,0,0,2,2
"gene:AT3G15450",1218,516,267,3260,4996,1687
"gene:AT3G15460",467,143,35,64,133,27
"gene:AT3G15470",489,44,186,204,296,310
"gene:AT3G15480",212,71,70,325,317,168
